;;;Haversian canals / %;Osteocytes / %;Cement lines / %;;;;;;
Donor_37;Left;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_37;Left;2;;;;;;;;;
Donor_37;Left;3;;;;;;;;;
Donor_38;Right;1;6.40589166;8.254390321;15.74339899;6.582800473;0.156587733;6.975760692;1.335763638;16.42755074;0.797639152
Donor_38;Right;2;6.703614914;5.589388852;16.23560366;;;;;;
Donor_38;Right;3;6.638894846;7.083502903;17.30364956;;;;;;
Donor_38;Left;1;4.618075007;9.670542964;21.68048641;4.330044263;0.788353767;8.463481165;2.81461246;22.3892317;0.870602417
Donor_38;Left;2;3.438178384;10.47324219;22.12618337;;;;;;
Donor_38;Left;3;4.933879396;5.246658345;23.36102532;;;;;;
Donor_39;Right;1;6.857837967;10.31259848;16.14010882;6.874341675;0.436150985;10.13808179;1.710392567;16.70211079;0.81219436
Donor_39;Right;2;7.318510268;8.34712139;16.33290026;;;;;;
Donor_39;Right;3;6.446676791;11.75452549;17.63332329;;;;;;
Donor_39;Left;1;8.4176299;9.635942709;15.53128314;7.751509223;0.585634334;10.27261181;1.245844344;15.00725653;0.455226074
Donor_39;Left;2;7.31755287;11.70813814;14.70949607;;;;;;
Donor_39;Left;3;7.519344899;9.473754576;14.78099038;;;;;;
Donor_40;Right;1;7.098007957;9.555366655;18.98450619;7.007729936;0.173775165;8.734443002;1.859139872;18.90824631;1.054169951
Donor_40;Right;2;6.807396798;10.04181828;17.81801723;;;;;;
Donor_40;Right;3;7.117785053;6.606144067;19.92221552;;;;;;
Donor_40;Left;1;6.790792791;8.235181908;16.19238795;6.83820676;0.18805701;9.42082663;1.083783106;16.54705761;0.661873489
Donor_40;Left;2;6.67839433;10.36044975;17.31068042;;;;;;
Donor_40;Left;3;7.045433159;9.666848234;16.13810447;;;;;;
Donor_41;Right;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_41;Right;2;;;;;;;;;
Donor_41;Right;3;;;;;;;;;
Donor_41;Left;1;6.279214299;8.319907349;15.39151921;6.349696988;0.10624374;8.88368727;0.488477;14.83061466;0.627654701
Donor_41;Left;2;6.471897376;9.15061296;14.94764193;;;;;;
